Property,Name,Original_Category,Original_Version,Download_Link,Type,Side,Scraped_Versions,Is_Client,Is_Server,Has_Forge,Has_Fabric
No,YUNG's Better Mineshafts (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-fabric,Mod,,[],False,False,True,True
No,YUNG's Better Strongholds (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds-fabric,Mod,,[],False,False,True,True
No,YUNG's Better Ocean Monuments (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments-fabric,Mod,,[],False,False,True,True
No,YUNG's Better Nether Fortresses (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses-fabric,Mod,,[],False,False,True,True
No,YUNG's Better Jungle Temples (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-jungle-temples-fabric,Mod,,[],False,False,True,True
No,YUNG's Better End Island (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island-fabric,Mod,,[],False,False,True,True
No,YUNG's Better Dungeons (Fabric),Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons-fabric,Mod,,[],False,False,True,True
Yes,Lithostitched,Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/lithostitched,Mod,,[],False,False,True,False
No,Hopo Better Underwater Ruins ,Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/hopo-better-underwater-ruins,Mod,,[],False,False,True,False
Yes,Hopo Better Ruined Portals,Construction,1.21,https://www.curseforge.com/minecraft/mc-mods/hopo-better-ruined-portals,Mod,,[],False,False,True,False
